#
# Course05.txt
#
#	コースデータ
#

#制限速度(km/h)
60

#中央分離帯オブジェクト番号
(
	200	401
	400	400
	500	400
	600	401
	700	401
	800	409
	862	409
	1000	401
	1152	409
	1200	400
	1331	409
	1400	401
	1500	400
	1524	409
	1600	401
	1637	409
	1700	409
	1800	400
	1850	409
	2000	401
	2100	409
	2300	400
	2440	409
)

#ビルオブジェクト(AmbientObjectSpec.txtのオブジェクト番号)
(
	410 411 412 413 414 415 416 417 418 419
)

#コース座標列	double[]
(
	0.0	0.0	0.0	0
	0.0	0.0	50.0	0
	0.0	0.0	100.0	0
	0.0	0.0	150.0	0
	0.0	0.0	200.0	0
	0.0	0.0	250.0	0
	0.0	0.0	300.0	0
	0.0	0.0	350.0	0
	-18.0	0.0	400.0	0
	-28.0	0.0	450.0	0
	-2.0	0.0	500.0	0
	0.0	0.0	550.0	0
	0.0	-1.0	600.0	0
	0.0	-1.0	650.0	0
	15.0	-5.0	700.0	0
	25.0	-5.0	750.0	0
	0.0	-5.0	800.0	0
	0.0	-5.0	850.0	0
	0.0	0.0	900.0	0
	0.0	0.0	950.0	0
	0.0	0.0	1000.0	0
	10.0	0.0	1050.0	0
	0.0	0.0	1100.0	0
	0.0	0.0	1150.0	0
	0.0	0.0	1200.0	0
	0.0	0.0	1250.0	0
	-10.0	5.0	1300.0	0
	-10.0	5.0	1350.0	0
	-20.0	5.0	1400.0	0
	-10.0	1.0	1450.0	0
	0.0	3.0	1500.0	0
	0.0	3.0	1550.0	0
	0.0	2.0	1600.0	0
	0.0	2.0	1650.0	0
	10.0	0.0	1700.0	0
	10.0	5.0	1750.0	0
	0.0	0.0	1800.0	0
	0.0	0.0	1850.0	0
	0.0	10.0	1900.0	0
	0.0	10.0	1950.0	0
	0.0	0.0	2000.0	0
	0.0	0.0	2050.0	0
	0.0	0.0	2100.0	0
	0.0	-2.0	2150.0	0
	0.0	0.0	2200.0	0
	0.0	0.0	2250.0	0
	5.0	0.0	2300.0	0
	5.0	0.0	2350.0	0
	0.0	0.0	2400.0	0
	0.0	0.0	2450.0	0
	0.0	0.0	2500.0	0
	0.0	0.0	2550.0	0
	0.0	0.0	2600.0	0
	0.0	0.0	2650.0	0
	0.0	0.0	2700.0	0
	0.0	0.0	2750.0	0
	0.0	0.0	2800.0	0
)

#環境オブジェクト
	#環境オブジェクト番号	 出現座標位置(y,x)	Y軸回転角度
	#int					 double[]			int

#女性１(ワンピース)
	10	860.0	-12.0	0
	10	930.0	-13.0	120
	10	1460.0	-11.0	45

#女性２(女子高生)
	11	1323.0	-13.0	50

#男性(サラリーマン)
	12	450.0	-13.0	270

#走る人
	13	1840.0	-13.0	180

#警察官(ダミー)
	14	1745.0	12.0	240
	14	2205.0	12.0	240

#工事バリケードトラ
	20	1943.5	-8.3	0
	20	1941.0	-9.0	0

#工事バリケード山形
	21	1652.0	-1.2	0

#障害物（コーン）
	22	1046.5	-9.1	0
	22	1050.7	-8.2	0

#看板
	23	1928.8	-11.8	0
	23	1030.0	-11.6	0
	23	1872.8	-11.5	0
	23	2250.3	-12.5	0
	23	1627.2	-12.1	0

#陸橋
	32	760.0	0.0	0
	32	1370.0	0.0	0
	32	1970.0	0.0	0

#アンダーパス
	33	1460.0	0.0	0
	33	2300.0	0.0	0
	33	2060.0	0.0	0

#河川（橋）
	34	560.0	0.0	0
	34	2160.0	0.0	0

#河川（鉄橋）
	35	960.0	0.0	0

#歩道橋1(60K/h)
	37	450.0	0.0	0
	37	1750.0	0.0	0

#歩道橋2(60K/h)
	40	1250.0	0.0	0
	40	670.0	0.0	0

#制限速度標識柱型(60k/h)
	52	720.0	-11.0	0
	52	1127.0	-11.7	0
	52	1720.0	-11.0	0
	52	220.0	-11.0	0

#ビル3
	412	645.0	-68.0	90
	412	1245.0	-68.0	90
	412	1175.0	68.0	270
	412	855.0	68.0	270
	412	1825.0	68.0	270
	412	2255.0	-68.0	90
	412	925.0	-68.0	90
	412	575.0	68.0	270
	412	1565.0	68.0	270
	412	1895.0	-68.0	90
	412	2185.0	68.0	270
	412	1635.0	-68.0	90

#ビル6
	415	540.0	60.0	180
	415	1140.0	-60.0	0
	415	1140.0	60.0	180
	415	540.0	-60.0	0
	415	960.0	-60.0	0
	415	1280.0	60.0	180
	415	1280.0	-60.0	0
	415	1790.0	-60.0	0
	415	1790.0	60.0	180
	415	2290.0	-60.0	0
	415	1530.0	-60.0	0
	415	1530.0	60.0	180
	415	1670.0	-60.0	0
	415	1670.0	60.0	180
	415	2290.0	60.0	180
	415	820.0	-60.0	0
	415	820.0	60.0	180
	415	680.0	60.0	180
	415	680.0	-60.0	0
	415	2150.0	60.0	180
	415	1930.0	60.0	180
	415	1930.0	-60.0	0
	415	960.0	60.0	180
	415	2150.0	-60.0	0

#ビル7
	416	2255.0	68.0	90
	416	1825.0	-68.0	270
	416	855.0	-68.0	270
	416	645.0	68.0	90
	416	1635.0	68.0	90
	416	1245.0	68.0	90
	416	1175.0	-68.0	270
	416	1565.0	-68.0	270
	416	2185.0	-68.0	270
	416	1895.0	68.0	90
	416	925.0	68.0	90
	416	575.0	-68.0	270

#横断歩道
	500	2100.0	0.0	0
	500	1610.0	0.0	0
	500	1580.0	0.0	0
	500	800.0	0.0	0
	500	300.0	0.0	0
	500	700.0	0.0	0
	500	1500.0	0.0	0
	500	400.0	0.0	0
	500	2000.0	0.0	0
	500	1700.0	0.0	0
	500	2200.0	0.0	0
	500	1000.0	0.0	0
	500	1900.0	0.0	0
	500	590.0	0.0	0
	500	900.0	0.0	0
	500	620.0	0.0	0
	500	870.0	0.0	0
	500	500.0	0.0	0
	500	1300.0	0.0	0
	500	2230.0	0.0	0
	500	1400.0	0.0	0
	500	1800.0	0.0	0

#信号機(60k/h)
	503	2010.0	-12.0	0
	503	2210.0	-12.0	0
	503	1710.0	-12.0	0
	503	1810.0	-12.0	0
	503	2000.0	12.0	180
	503	1700.0	12.0	180
	503	1800.0	12.0	180
	503	2230.0	12.0	180
	503	2100.0	12.0	180
	503	2110.0	-12.0	0
	503	1900.0	12.0	180
	503	1910.0	-12.0	0
	503	1010.0	-12.0	0
	503	1000.0	12.0	180
	503	900.0	12.0	180
	503	1300.0	12.0	180
	503	880.0	-12.0	0
	503	810.0	-12.0	0
	503	1310.0	-12.0	0
	503	800.0	12.0	180
	503	710.0	-12.0	0
	503	1400.0	12.0	180
	503	700.0	12.0	180
	503	1410.0	-12.0	0
	503	1500.0	12.0	180
	503	620.0	12.0	180
	503	1510.0	-12.0	0
	503	600.0	-12.0	0
	503	510.0	-12.0	0
	503	1590.0	-12.0	0
	503	500.0	12.0	180
	503	410.0	-12.0	0
	503	400.0	12.0	180
	503	310.0	-12.0	0
	503	300.0	12.0	180
	503	1610.0	12.0	180

#交差点
	504	610.0	0.0	0
	504	2220.0	0.0	0
	504	890.0	0.0	0
	504	1600.0	0.0	0

#踏切
	505	2340.0	0.0	0
	505	1210.0	0.0	0
	505	1860.0	0.0	0

#バス停（お客なし）
	510	2300.0	-11.0	0

#バス停（お客あり）
	511	271.0	-12.1	0
	511	977.3	-12.2	0
	511	735.5	-11.4	0
	511	1279.1	-11.7	0
	511	478.7	-11.6	0
	511	1561.8	-12.8	0

#環境車(路駐)
	590	618.1	-29.3	90	(0 1)
	590	1744.3	-9.1	0	(0 3)
	590	601.7	31.1	270	(0 5)
	590	2211.9	30.6	270	(0 5)
	590	1591.5	29.4	270	(0 7)
	590	1605.0	-33.6	90	(0 9)
	590	1650.1	-9.4	0	(0 3)
	590	1608.5	-33.0	90	(0 9)
	590	1059.9	-8.5	0	(0 10)
	590	940.0	-9.0	0	(0 0)
	590	1360.0	-9.0	0	(0 0)
	590	770.0	-9.0	0	(0 0)
	590	2031.0	-8.9	0	(0 6)
	590	895.0	-34.3	90	(0 3)
	590	881.5	30.9	270	(0 10)
	590	1823.8	-9.0	0	(0 1)

#警察官(ネズミ捕りおすわり)
	700	2258.2	-12.3	100

#警察官(信号無視監視)
	710	1005.0	-12.0	150
	710	1907.8	-12.1	120
	710	405.0	-12.0	150
	710	1305.0	-12.0	150
	710	805.0	-12.0	150
	710	1588.8	-12.3	90
	710	2005.0	-12.0	150
	710	505.0	-12.0	150
	710	1705.0	-12.0	150
	710	2205.0	-12.0	150
	710	1805.0	-12.0	150
	710	1505.0	-12.0	150
	710	1405.0	-12.0	150
	710	705.0	-12.0	150
	710	2106.7	-11.5	120

-1

#路面情報
#種別 車線番号 開始位置 終了位置
1	-2	520.0	560.0
1	-3	820.0	850.0
1	-1	1040.0	1160.0
1	-3	1320.0	1350.0
1	-2	1320.0	1380.0
1	-3	1650.0	1690.0
1	-3	1760.0	1790.0
1	-1	1940.0	1970.0
1	-2	2120.0	2180.0

-1

